Question,Answer
新規プロジェクトを立ち上げる手順を教えてください,「Use this template」でGitHubリポジトリを作成し、cdk.jsonのcontextにgithubOrg/githubRepo/frontendUrlを設定します。次にnpx cdk bootstrap で初期化し、npx cdk deploy StorageStack AuthStack ComputeStack ApiStack でデプロイしてください。
CDKのデプロイに失敗しました。どうすればいいですか,まずnpx tsc --noEmit でTypeScriptのコンパイルエラーを確認してください。次にAWS認証情報が設定されているか aws sts get-caller-identity で確認します。cdk bootstrap が実行済みかも確認してください。
GitHub ActionsからAWSへのデプロイ認証はどうなっていますか,OIDCを使用しています。IAMアクセスキーをGitHubシークレットに保存する必要はありません。AuthStackがGitHub ActionsのIAMロールを作成するので、そのARNをAWS_ROLE_TO_ASSUMEシークレットに設定してください。
WAFのルールをカスタマイズしたいです,infra/cdk/lib/stacks/waf-stack.tsを編集してください。CfnWebACLのrulesにカスタムルールを追加できます。変更後はnpx cdk deploy WafStack でデプロイします。
Amazon Bedrockを使うにはどうすればいいですか,まずAWSコンソールでap-northeast-1リージョンのBedrock Model accessにてClaude 3 Haikuを有効化してください。次にcdk deployのコンテキストにuseBedrock=trueを追加してBedrockStackをデプロイします。
KendraとBedrockの違いは何ですか,Kendraはキーワードベースとセマンティクスベースのハイブリッド検索エンジンです。BedrockのRAGはドキュメント検索後にLLMで自然言語回答を生成します。Kendraは検索結果のリスト返却、Bedrockは質問への直接回答生成が得意です。
DynamoDBのテーブル設計を変更したいです,infra/cdk/lib/stacks/storage-stack.tsのTodoTableの定義を変更してください。GSIの追加やソートキーの設定もここで行います。既存テーブルへの変更はDynamoDBの制約に注意してください。
Cognitoのパスワードポリシーを変更したいです,infra/cdk/lib/constructs/cognito-auth.tsのpasswordPolicyを変更してください。変更後はnpx cdk deploy AuthStack でデプロイします。
AppSync GraphQL APIのスキーマを拡張したいです,backend/graphql/schema.graphqlを編集してください。新しいリゾルバーはbackend/graphql/resolvers/に追加し、infra/cdk/lib/stacks/api-stack.tsでリゾルバーを登録します。
Lambda関数のタイムアウトやメモリを変更したいです,SecureLambdaコンストラクトはNodejsFunctionPropsを拡張しているため、timeoutやmemorySizeプロパティを直接指定できます。compute-stack.tsのSecureLambda初期化箇所で変更してください。
